Company,Levy Group,Effective Date,Fuel Surcharge
TFMXPRESS Pty Ltd,Customer B 1.10,23/03/2026,34.36%
Team Global Express Pty Ltd,Customer A 1.15,23/03/2026,31.62%
SRK Transport,Contractor C SRK,23/03/2026,24.69%
Northline Partnership,Customer A 1.15,23/03/2026,31.62%
Materia Family Trust,Contractor B Materia,23/03/2026,17.90%
Lakes Entrance Delivery Services,Contractor D LEDS,23/03/2026,9.91%
Hunter Express,Customer A 1.15,23/03/2026,31.62%
Hi Trans Express Pty Ltd,Customer A 1.15,23/03/2026,31.62%
G&G Gippsland Pty Ltd,Contractor A GFE,23/03/2026,20.89%
Freight Specialists Pty Ltd,Customer B 1.10,23/03/2026,34.36%
Farm Balance Pty Ltd,Customer B 1.10,23/03/2026,34.36%
Dux Manufacturing Ltd,Customer B 1.10,23/03/2026,34.36%
Direct Freight Express Pty Ltd,Customer B 1.10,23/03/2026,34.36%
D&E Valley Freight,D&E Valley Freight,23/03/2026,20.89%
Cahill Transport,Customer B 1.10,23/03/2026,34.36%
Bluestar Logistics Pty Ltd,Customer B 1.10,23/03/2026,34.36%
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,23/03/2026,34.36%
Amalgamated National Logistics,Customer B 1.10,23/03/2026,34.36%
Allied Overnight Express Pty Ltd,Customer B 1.10,23/03/2026,34.36%
Airroad Pty Ltd,Customer A 1.15,23/03/2026,31.62%
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,16/03/2026,21.53%
Vellex Logistics Pty Ltd,Customer A 1.15,16/03/2026,19.36%
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,16/03/2026,19.36%
TFMXPRESS Pty Ltd,Customer B 1.10,16/03/2026,21.53%
Team Global Express Pty Ltd,Customer A 1.15,16/03/2026,19.36%
SRK Transport,Contractor C SRK,16/03/2026,13.83%
Northline Partnership,Customer A 1.15,16/03/2026,19.36%
Materia Family Trust,Contractor B Materia,16/03/2026,8.44%
Lakes Entrance Delivery Services,Contractor D LEDS,16/03/2026,5.00%
Hunter Express,Customer A 1.15,16/03/2026,19.36%
Hi Trans Express Pty Ltd,Customer A 1.15,16/03/2026,19.36%
G&G Gippsland Pty Ltd,Contractor A GFE,16/03/2026,10.81%
Freight Specialists Pty Ltd,Customer B 1.10,16/03/2026,21.53%
Farm Balance Pty Ltd,Customer B 1.10,16/03/2026,21.53%
Dux Manufacturing Ltd,Customer B 1.10,16/03/2026,21.53%
Direct Freight Express Pty Ltd,Customer B 1.10,16/03/2026,21.53%
D&E Valley Freight,D&E Valley Freight,16/03/2026,10.81%
Cahill Transport,Customer B 1.10,16/03/2026,21.53%
Bluestar Logistics Pty Ltd,Customer B 1.10,16/03/2026,21.53%
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,16/03/2026,21.53%
Amalgamated National Logistics,Customer B 1.10,16/03/2026,21.53%
Allied Overnight Express Pty Ltd,Customer B 1.10,16/03/2026,21.53%
Airroad Pty Ltd,Customer A 1.15,16/03/2026,19.36%
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,02/03/2026,18.23%
Vellex Logistics Pty Ltd,Customer A 1.15,02/03/2026,16.20%
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,02/03/2026,16.20%
TFMXPRESS Pty Ltd,Customer B 1.10,02/03/2026,18.23%
Team Global Express Pty Ltd,Customer A 1.15,02/03/2026,16.20%
SRK Transport,Contractor C SRK,02/03/2026,11.04%
Northline Partnership,Customer A 1.15,02/03/2026,16.20%
Materia Family Trust,Contractor B Materia,02/03/2026,6.00%
Lakes Entrance Delivery Services,Contractor D LEDS,02/03/2026,5.00%
Hunter Express,Customer A 1.15,02/03/2026,16.20%
Hi Trans Express Pty Ltd,Customer A 1.15,02/03/2026,16.20%
G&G Gippsland Pty Ltd,Contractor A GFE,02/03/2026,8.21%
Freight Specialists Pty Ltd,Customer B 1.10,02/03/2026,18.23%
Farm Balance Pty Ltd,Customer B 1.10,02/03/2026,18.23%
Dux Manufacturing Ltd,Customer B 1.10,02/03/2026,18.23%
Direct Freight Express Pty Ltd,Customer B 1.10,02/03/2026,18.23%
D&E Valley Freight,D&E Valley Freight,02/03/2026,8.21%
Cahill Transport,Customer B 1.10,02/03/2026,18.23%
Bluestar Logistics Pty Ltd,Customer B 1.10,02/03/2026,18.23%
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,02/03/2026,18.23%
Amalgamated National Logistics,Customer B 1.10,02/03/2026,18.23%
Allied Overnight Express Pty Ltd,Customer B 1.10,02/03/2026,18.23%
Airroad Pty Ltd,Customer A 1.15,02/03/2026,16.20%
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,02/02/2026,19.00%
Vellex Logistics Pty Ltd,Customer A 1.15,02/02/2026,16.94%
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,02/02/2026,16.94%
TFMXPRESS Pty Ltd,Customer B 1.10,02/02/2026,19.00%
Team Global Express Pty Ltd,Customer A 1.15,02/02/2026,16.94%
SRK Transport,Contractor C SRK,02/02/2026,11.70%
Northline Partnership,Customer A 1.15,02/02/2026,16.94%
Materia Family Trust,Contractor B Materia,02/02/2026,6.57%
Lakes Entrance Delivery Services,Contractor D LEDS,02/02/2026,5.00%
Hunter Express,Customer A 1.15,02/02/2026,16.94%
Hi Trans Express Pty Ltd,Customer A 1.15,02/02/2026,16.94%
G&G Gippsland Pty Ltd,Contractor A GFE,02/02/2026,8.82%
Freight Specialists Pty Ltd,Customer B 1.10,02/02/2026,19.00%
Farm Balance Pty Ltd,Customer B 1.10,02/02/2026,19.00%
Dux Manufacturing Ltd,Customer B 1.10,02/02/2026,19.00%
Direct Freight Express Pty Ltd,Customer B 1.10,02/02/2026,19.00%
D&E Valley Freight,D&E Valley Freight,02/02/2026,8.82%
Cahill Transport,Customer B 1.10,02/02/2026,19.00%
Bluestar Logistics Pty Ltd,Customer B 1.10,02/02/2026,19.00%
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,02/02/2026,19.00%
Amalgamated National Logistics,Customer B 1.10,02/02/2026,19.00%
Allied Overnight Express Pty Ltd,Customer B 1.10,02/02/2026,19.00%
Airroad Pty Ltd,Customer A 1.15,02/02/2026,16.94%
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,05/01/2026,20.14%
Vellex Logistics Pty Ltd,Customer A 1.15,05/01/2026,18.02%
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,05/01/2026,18.02%
TFMXPRESS Pty Ltd,Customer B 1.10,05/01/2026,20.14%
Team Global Express Pty Ltd,Customer A 1.15,05/01/2026,18.02%
SRK Transport,Contractor C SRK,05/01/2026,12.66%
Northline Partnership,Customer A 1.15,05/01/2026,18.02%
Materia Family Trust,Contractor B Materia,05/01/2026,7.41%
Lakes Entrance Delivery Services,Contractor D LEDS,05/01/2026,5.00%
Hunter Express,Customer A 1.15,05/01/2026,18.02%
Hi Trans Express Pty Ltd,Customer A 1.15,05/01/2026,18.02%
G&G Gippsland Pty Ltd,Contractor A GFE,05/01/2026,9.72%
Freight Specialists Pty Ltd,Customer B 1.10,05/01/2026,20.14%
Farm Balance Pty Ltd,Customer B 1.10,05/01/2026,20.14%
Dux Manufacturing Ltd,Customer B 1.10,05/01/2026,20.14%
