Company,Levy Group,Effective Date,Fuel Surcharge,,,,,,,
G&G Gippsland Pty Ltd,Contractor A GFE,30/03/2026,29.11%,,,,,,,
Hi Trans Express Pty Ltd,Customer A 1.15,30/03/2026,41.63%,,,,,,,
Hunter Express,Customer A 1.15,30/03/2026,41.63%,,,,,,,
Lakes Entrance Delivery Services,Contractor D LEDS,30/03/2026,16.31%,,,,,,,
Materia Family Trust,Contractor B Materia,30/03/2026,25.63%,,,,,,,
Northline Partnership,Customer A 1.15,30/03/2026,41.63%,,,,,,,
SRK Transport,Contractor C SRK,30/03/2026,33.54%,,,,,,,
Team Global Express Pty Ltd,Customer A 1.15,30/03/2026,41.63%,,,,,,,
TFMXPRESS Pty Ltd,Customer B 1.10,30/03/2026,44.82%,,,,,,,
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,30/03/2026,41.63%,,,,,,,
Vellex Logistics Pty Ltd,Customer A 1.15,30/03/2026,41.63%,,,,,,,
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,30/03/2026,44.82%,,,,,,,
Airroad Pty Ltd,Customer A 1.15,23/03/2026,31.62%,,,,,,,
Allied Overnight Express Pty Ltd,Customer B 1.10,23/03/2026,34.36%,,,,,,,
Amalgamated National Logistics,Customer B 1.10,23/03/2026,34.36%,,,,,,,
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,23/03/2026,34.36%,,,,,,,
Bluestar Logistics Pty Ltd,Customer B 1.10,23/03/2026,34.36%,,,,,,,
Cahill Transport,Customer B 1.10,23/03/2026,34.36%,,,,,,,
Direct Freight Express Pty Ltd,Customer B 1.10,23/03/2026,34.36%,,,,,,,
Dux Manufacturing Ltd,Customer B 1.10,23/03/2026,34.36%,,,,,,,
Farm Balance Pty Ltd,Customer B 1.10,23/03/2026,34.36%,,,,,,,
Freight Specialists Pty Ltd,Customer B 1.10,23/03/2026,34.36%,,,,,,,
G&G Gippsland Pty Ltd,Contractor A GFE,23/03/2026,20.89%,,,,,,,
Hi Trans Express Pty Ltd,Customer A 1.15,23/03/2026,31.62%,,,,,,,
Hunter Express,Customer A 1.15,23/03/2026,31.62%,,,,,,,
Lakes Entrance Delivery Services,Contractor D LEDS,23/03/2026,9.91%,,,,,,,
Materia Family Trust,Contractor B Materia,23/03/2026,17.90%,,,,,,,
Northline Partnership,Customer A 1.15,23/03/2026,31.62%,,,,,,,
SRK Transport,Contractor C SRK,23/03/2026,24.69%,,,,,,,
Team Global Express Pty Ltd,Customer A 1.15,23/03/2026,31.62%,,,,,,,
TFMXPRESS Pty Ltd,Customer B 1.10,23/03/2026,34.36%,,,,,,,
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,23/03/2026,31.62%,,,,,,,
Vellex Logistics Pty Ltd,Customer A 1.15,23/03/2026,31.62%,,,,,,,
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,23/03/2026,34.36%,,,,,,,
Airroad Pty Ltd,Customer A 1.15,16/03/2026,19.36%,,,,,,,
